country,wine_count,avg_price,avg_points
England,74,51.68115942028985,91.58108108108108
India,9,13.333333333333334,90.22222222222223
Austria,3345,30.76277241872097,90.10134529147982
Germany,2165,42.25754716981132,89.85173210161663
Canada,257,35.71259842519685,89.36964980544747
Hungary,146,40.648275862068964,89.1917808219178
China,1,18.0,89.0
France,22093,41.139120162016205,88.84510931064138
Luxembourg,6,23.333333333333332,88.66666666666667
Australia,2329,35.43766346992153,88.58050665521684
Switzerland,7,85.28571428571429,88.57142857142857
Morocco,28,19.5,88.57142857142857
US,54504,36.5734635584631,88.56372009393806
Italy,19540,39.663769658271256,88.56223132036847
Israel,505,31.768916155419223,88.47128712871287
New Zealand,1419,26.93178519593614,88.3030303030303
Portugal,5691,26.21825641025641,88.25021964505359
Turkey,90,24.633333333333333,88.08888888888889
Slovenia,87,24.8125,88.06896551724138
South Africa,1401,24.668986852281517,88.05638829407566
Bulgaria,141,14.645390070921986,87.93617021276596
Georgia,86,19.321428571428573,87.68604651162791
Lebanon,35,30.685714285714287,87.68571428571428
Serbia,12,24.5,87.5
Armenia,2,14.5,87.5
Spain,6645,28.215274608245853,87.28833709556058
Greece,466,22.364425162689805,87.28326180257511
Czech Republic,12,24.25,87.25
Croatia,73,25.450704225352112,87.21917808219177
Moldova,59,16.74576271186441,87.20338983050847
Cyprus,11,16.272727272727273,87.18181818181819
Slovakia,1,16.0,87.0
Macedonia,12,15.583333333333334,86.83333333333333
Uruguay,109,26.40366972477064,86.75229357798165
Argentina,3800,24.510117145899894,86.71026315789474
Bosnia and Herzegovina,2,12.5,86.5
Chile,4472,20.786458333333332,86.4935152057245
Romania,120,15.241666666666667,86.4
Mexico,70,26.785714285714285,85.25714285714285
Brazil,52,23.76595744680851,84.67307692307692
Ukraine,14,9.214285714285714,84.07142857142857
Egypt,1,,84.0
Peru,16,18.0625,83.5625
