variety,wine_count,avg_points
Sangiovese Grosso,751,90.52996005326231
Nebbiolo,2804,90.25106990014265
Blaufränkisch,232,90.02155172413794
Grüner Veltliner,1345,89.98066914498142
Tinto Fino,100,89.88
Sagrantino,104,89.82692307692308
Sherry,100,89.82
Port,668,89.73353293413173
Nerello Mascalese,117,89.68376068376068
Champagne Blend,1396,89.66332378223495
Tinta de Toro,166,89.59036144578313
Riesling,5189,89.45018307959144
Pinot Noir,13272,89.41146775165763
Syrah,4142,89.2865765330758
Aglianico,359,89.27576601671309
Mourvèdre,229,89.26200873362446
Rhône-style Red Blend,1471,89.15363698164514
Bordeaux-style Red Blend,6915,89.10643528561098
Shiraz,836,89.05861244019138
Grenache,651,88.963133640553
G-S-M,181,88.93370165745857
Cabernet Sauvignon-Syrah,102,88.91176470588235
Touriga Nacional,200,88.895
Turbiana,157,88.82165605095541
Portuguese Red,2466,88.81062449310625
Tannat,178,88.78651685393258
Grenache Blanc,131,88.78625954198473
Alvarinho,137,88.75912408759125
Mencía,178,88.74157303370787
Pinot Nero,181,88.74033149171271
Bordeaux-style White Blend,1066,88.69043151969981
Muscat,132,88.62121212121212
Cabernet Sauvignon,9472,88.60758023648648
Gewürztraminer,1012,88.5909090909091
Chenin Blanc,591,88.57529610829103
Sangiovese,2707,88.5507942371629
Roussanne,168,88.52380952380952
Pinot Gris,1455,88.49621993127148
Rhône-style White Blend,425,88.47294117647058
Melon,280,88.46428571428571
Pinot Bianco,154,88.44805194805195
Greco,121,88.44628099173553
Red Blend,8946,88.38028169014085
Chardonnay,11753,88.34008338296606
Petit Verdot,269,88.31598513011153
Zweigelt,209,88.29665071770334
Tempranillo Blend,588,88.25510204081633
"Corvina, Rondinella, Molinara",619,88.24394184168013
Fiano,151,88.23178807947019
Petite Sirah,770,88.2038961038961
Sémillon,135,88.19259259259259
Sauvignon,316,88.17721518987342
Cabernet Franc,1353,88.15077605321508
Sparkling Blend,2153,88.04505341384115
Gamay,1025,88.03317073170732
Malbec,2652,87.98303167420815
Friulano,122,87.91803278688525
Verdicchio,164,87.83536585365853
Zinfandel,2714,87.82866617538689
Barbera,721,87.78363384188627
Viognier,996,87.7710843373494
Pinot Blanc,442,87.75339366515837
Albariño,477,87.74423480083857
Cabernet Sauvignon-Merlot,117,87.67521367521367
Garganega,270,87.63703703703703
Vermentino,232,87.625
Meritage,260,87.57307692307693
Tempranillo,1810,87.51436464088398
Nero d'Avola,365,87.44931506849315
Sauvignon Blanc,4967,87.42963559492651
Pinotage,137,87.4014598540146
White Blend,2360,87.35296610169492
Vernaccia,138,87.29710144927536
Glera,709,87.24400564174894
Monastrell,147,87.2312925170068
Merlot,3102,87.20857511283043
Dolcetto,180,87.17222222222222
Grillo,137,87.0
Primitivo,222,86.98648648648648
Portuguese White,1159,86.93097497842967
Rosato,103,86.88349514563107
Rosé,3564,86.84624017957351
Montepulciano,215,86.8232558139535
Carmenère,575,86.58956521739131
Bonarda,105,86.5047619047619
Prosecco,236,86.38983050847457
Verdejo,294,86.34013605442176
Moscato,358,86.27932960893855
Pinot Grigio,1052,86.23764258555133
Garnacha,326,85.92944785276073
Torrontés,250,85.572
Viura,107,85.25233644859813
