winery,wine_count,avg_points
Cayuse,81,93.88888888888889
Betz Family,53,92.9245283018868
Lynmar,118,92.80508474576271
Williams Selyem,211,92.74407582938389
K Vintners,66,92.6969696969697
Trisaetum,70,92.6
Robert Weil,61,92.55737704918033
Merry Edwards,66,92.54545454545455
Domaine Zind-Humbrecht,101,92.52475247524752
Carlisle,57,92.42105263157895
Hall,50,92.34
Domaine Serene,73,92.1917808219178
Domaine Ostertag,52,91.84615384615384
Woodward Canyon,54,91.79629629629629
Schramsberg,80,91.7875
Ponzi,60,91.75
Dutton-Goldfield,100,91.74
Foxen,105,91.67619047619047
Louis Jadot,104,91.625
Gary Farrell,125,91.616
Sojourn,69,91.6086956521739
Schloss Gobelsburg,56,91.55357142857143
Bründlmayer,101,91.52475247524752
Mark Ryan,60,91.5
Domaine Barmès-Buecher,50,91.42
Duckhorn,74,91.39189189189189
Dr. Loosen,96,91.35416666666667
Patz & Hall,64,91.328125
Reichsgraf von Kesselstatt,61,91.26229508196721
Efeste,62,91.24193548387096
Roche de Bellene,54,91.24074074074075
Domaine Faiveley,60,91.2
Iron Horse,106,91.18867924528301
Bouchard Père & Fils,81,91.18518518518519
Talley,71,91.09859154929578
Olivier Leflaive,95,90.96842105263158
Loimer,60,90.95
Bodega Catena Zapata,50,90.94
Pride Mountain,76,90.90789473684211
Gorman,65,90.8923076923077
Hirsch,63,90.88888888888889
Adelsheim,85,90.88235294117646
Maximin Grünhäuser,74,90.87837837837837
Salomon-Undhof,56,90.82142857142857
Marimar Estate,77,90.81818181818181
Chanson Père et Fils,109,90.80733944954129
MacPhail,69,90.78260869565217
Testarossa,218,90.73853211009174
Owen Roe,53,90.73584905660377
Joseph Swan Vineyards,62,90.70967741935483
Syncline,71,90.69014084507042
Thomas Fogarty,67,90.65671641791045
Sineann,88,90.64772727272727
Albert Bichot,117,90.63247863247864
Seven Hills,98,90.61224489795919
Walla Walla Vintners,57,90.57894736842105
Januik,76,90.5657894736842
Tardieu-Laurent,51,90.54901960784314
Louis Latour,199,90.53768844221105
Rusack,51,90.50980392156863
Domaines Schlumberger,54,90.5
